id,title,date_release,date_research,price,discount_price,developer,publisher,description,total_reviews,review_rating,url
3609320,Bombun,27/mar./2026,2026-03-29,"R$32,99","R$29,69",['Kekitopu'],['Critical Bliss'],"Uma coelhinha bombástica defende sua fortaleza flutuante da sua antiga amiga, agora inimiga.",85,9,https://store.steampowered.com/app/3609320
619540,Darkwater,26/mar./2026,2026-03-29,"R$32,99","R$23,09",['Targon Studios'],['Playstack'],Darkwater é um jogo cooperativo de extração de terror para 1 a 4 jogadores. Comande um submarino preso sob o gelo numa lua alienígena. Lute contra embarcações inimigas e abominações subaquáticas enquanto busca recursos. Faça o possível para sobreviver.,754,7,https://store.steampowered.com/app/619540
3948120,Scritchy Scratchy,18/mar./2026,2026-03-29,"R$19,49","R$15,59",['Lunch Money Games'],['Funday Games'],"Scritchy Scratchy é um divertido jogo incremental de raspadinhas. Compre pilhas de raspadinhas, desbloqueie a raspagem automática e saia à caça dos grandes prêmios. Você vai pegar leve ou vai apostar tudo?",3437,9,https://store.steampowered.com/app/3948120
3816930,Grind Survivors,16/mar./2026,2026-03-29,"R$30,99","R$23,24",['Pushka Studios'],['Assemble Entertainment'],"Grind Survivors é um roguelike de ação acelerado onde caçadores de demônios enfrentam hordas infinitas do inferno. Desvie, saqueie e detone em combates brutais de bullet-hell, com builds dinâmicos e armas sempre diferentes em um mundo devastado e tomado por demônios.",756,7,https://store.steampowered.com/app/3816930
1863430,Dragonkin: The Banished,16/mar./2026,2026-03-29,"R$74,99","R$67,49",['Eko Software'],['Nacon'],"A ameaça dracônica está mais uma vez sobre nós. Heróis lendários surgem para enfrentar as legiões das profundezas. Domine seus dragonetes, crie construções de poder únicas com a Grade Ancestral, expanda sua cidade e destrua os Dragões!",1594,7,https://store.steampowered.com/app/1863430
2373990,Solo Leveling: ARISE OVERDRIVE,24/nov./2025,2026-03-29,"R$149,90","R$104,93",['Netmarble Neo'],['Netmarble'],"Solo Leveling, the webtoon with 14.3 billion views worldwide, is now an action RPG game! Help our hero grow from his humble E-Rank beginnings.",233,9,https://store.steampowered.com/app/2373990
1808500,ARC Raiders,30/out./2025,2026-03-29,"R$171,80","R$137,44",['Embark Studios'],['Embark Studios'],"ARC Raiders é uma aventura multijogador de extração ambientada em uma Terra futurista e letal, arrasada por uma misteriosa ameaça mecanizada conhecida como ARC.",8267,9,https://store.steampowered.com/app/1808500
2208570,Dark Hours,23/out./2025,2026-03-29,"R$46,99","R$28,19",['Piece of Cake studios'],"['Piece of Cake studios', 'Kepler Ghost']","Dark Hours é um jogo cooperativo de terror e sobrevivência de 1 a 4 jogadores. Seu assalto foi interrompido por um evento sobrenatural, e sua equipe está presa com uma entidade maligna. Esqueça o plano, a missão é sobreviver. Explorem e trabalhem para achar a saída.",3008,9,https://store.steampowered.com/app/2208570
2000150,Banana Drama,29/mar./2026,2026-03-29,"R$6,99","R$6,29","['Dommenuss', 'Pikachau']",['artifact design GbR'],Banana Drama is an independent RTS game. It offers a singleplayer and online multiplayer experience. Your monkey king is held captive by evil dinos - he needs help! Be part of the banana crew and join us on Discord!,0,0,https://store.steampowered.com/app/2000150
4315220,Immunica,29/mar./2026,2026-03-29,"R$13,79","R$12,41",['eranboi'],['eranboi'],"Seja o sistema imunológico. Passe o cursor para matar. Armas disparam automaticamente. Gerencie seu laboratório, contrate cientistas e desenvolva uma vacina enquanto enfrenta hordas infinitas de patógenos.",1,0,https://store.steampowered.com/app/4315220
2579440,MUKKE: Music Machine,29/mar./2026,2026-03-29,"R$26,49","R$15,89",['APETENSE Interactive'],['APETENSE Interactive'],"Create mean beats and sick tracks from scratch with MUKKE's easy-to-learn music machine! Play around with a variety of sounds, instruments & tools to compose and record your own songs. Unleash your inner musician with this fresh new music game!",6,0,https://store.steampowered.com/app/2579440
4424370,6点之前,29/mar./2026,2026-03-29,"R$13,79","R$12,41",['upmupm420'],['upmupm420'],"You are trapped in the new company by Lao Liu, and you need to carefully observe whether there are any abnormalities every day, make the right choice within the limited time, and break the cycle.",0,0,https://store.steampowered.com/app/4424370
